subject;question;true;wrong1;wrong2;wrong3
Wirtschaft;Was beschreibt der Begriff "Elastizität" in der Ökonomie?;Die Reaktion auf Preisänderungen;Die Flexibilität von Arbeitsmärkten;Die Geschwindigkeit der Geldmenge;Die Stabilität des Wechselkurses
Wirtschaft;Was ist der "Opportunitätskosten"-Ansatz?;Der Verzicht auf die beste Alternative;Die tatsächlichen Ausgaben;Die staatlichen Subventionen;Die Abschreibungen von Gütern
Wirtschaft;Was ist das "Giffen-Paradoxon"?;Nachfrage steigt bei steigendem Preis;Angebot sinkt bei steigendem Preis;Nachfrage sinkt bei sinkendem Preis;Angebot steigt bei sinkendem Preis
Wirtschaft;Welche Funktion hat die "Zentralbank" in der Regel?;Steuerung der Geldpolitik;Erhebung von Steuern;Regulierung der Arbeitsmärkte;Ausstellung von Handelslizenzen
Wirtschaft;Was ist ein "externer Effekt"?;Auswirkungen ökonomischer Entscheidungen auf Dritte;Steuerliche Vergünstigungen;Interne Unternehmensstrategien;Veränderungen des Aktienkurses
Wirtschaft;Was versteht man unter "Marktversagen"?;Der Markt liefert keine effizienten Ergebnisse;Alle Unternehmen machen Verluste;Der Staat greift nicht ein;Es gibt keine Konkurrenz
Wirtschaft;Was ist die "Quantitätsgleichung" des Geldes?;M * V = P * Y;E = mc^2;F = m * a;P = U * I
Wirtschaft;Welchen Markt beschreibt das "Oligopol"?;Wenige Anbieter und viele Nachfrager;Ein Anbieter und viele Nachfrager;Viele Anbieter und ein Nachfrager;Viele Anbieter und viele Nachfrager
Wirtschaft;Was ist ein "natürliches Monopol"?;Ein Monopol, das effizienter ist als Wettbewerb;Ein staatlich verordnetes Monopol;Ein Monopol durch Innovation;Ein Monopol durch Fusionen
Wirtschaft;Was misst das "Bruttoinlandsprodukt" (BIP)?;Gesamtwert aller Güter und Dienstleistungen;Gesamtwert aller Exporte;Die Schulden des Staates;Die Arbeitslosenquote
Wirtschaft;Was ist "Deflation"?;Anhaltender Rückgang des allgemeinen Preisniveaus;Anhaltender Anstieg des Preisniveaus;Stagnation der Preise;Schnelle Preiswechsel
Wirtschaft;Was bedeutet "Prohibitivpreis"?;Preis, zu dem die Nachfrage Null ist;Niedrigstmöglicher Preis;Staatlich festgelegter Preis;Preis inklusive aller Steuern
